domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
castillodeniebla.gob.cl,False,False,True,False,False,True,0,0,True,0,,,12.0,0.333,0.0,0.505,0.872,patrimoniovirtual.gob.cl;googletagmanager.com;google.com;doubleclick.net;google-analytics.com,2,0,0,0,0,1,1,TLS_1_2,32.0,0.429,0.571,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
desarrollosocialyfamilia.gob.cl,True,False,False,False,True,False,5,30,False,11,NONE,,95.0,0.758,0.137,0.814,0.814,youtube.com;jnn-pa.googleapis.com;twitter.com;google-analytics.com;doubleclick.net,1,0,0,0,0,1,0,TLS_1_3,190.0,0.583,0.333,0.5,1,1,True,,,,False,0.7142857142857143,1,0.16666666666666666
hacienda.gob.cl,True,False,True,False,True,True,0,0,True,4,NONE,,8.0,0.0,0.0,0.79,0.943,cdninstagram.com;gstatic.com;hacienda.cl;twitter.com;fontawesome.com,6,1,1,1,1,1,1,TLS_1_3,57.0,0.625,0.0,0.5,1,1,True,,,,False,0.0,6,1.0
investchile.gob.cl,True,False,True,False,True,True,4,4,True,2,NONE,,113.0,0.956,0.239,0.891,0.891,gstatic.com;googletagmanager.com;google.com;hsforms.com;licdn.com,1,0,0,0,0,1,0,TLS_1_3,347.0,0.4,0.0,0.5,1,1,True,,,,False,0.5714285714285714,1,0.16666666666666666
lab.gob.cl,True,False,True,False,True,True,4,3,True,0,,,11.0,0.0,0.182,0.998,0.998,gstatic.com;website-files.com;sharethis.com;typekit.net;jsdelivr.net,3,1,1,0,0,1,0,TLS_1_3,24.0,0.625,0.0,0.0,0,1,,,,,False,0.5714285714285714,3,0.5
minmujeryeg.gob.cl,True,False,False,False,True,False,5,1,False,3,,,28.0,0.0,0.0,0.616,0.616,google-analytics.com;googletagmanager.com;fonts.googleapis.com;cloudflare.com;bootstrapcdn.com,6,1,1,1,1,1,1,TLS_1_2,261.0,1.0,0.0,0.0,0,1,,,,,False,0.7142857142857143,6,1.0
minrel.gob.cl,True,False,False,False,True,True,5,3,True,2,,,17.0,0.529,0.0,0.408,0.412,google.com;gstatic.com;googletagmanager.com;translate.googleapis.com;translate-pa.googleapis.com,6,1,1,1,1,1,1,TLS_1_3,86.0,0.0,0.0,0.0,0,1,,,,,False,0.7142857142857143,6,1.0
monumentos.gob.cl,False,False,True,False,False,True,0,0,True,0,,,8.0,0.0,0.0,0.638,0.638,google.com;googletagmanager.com;doubleclick.net;google.es,3,1,0,0,0,1,1,TLS_1_3,45.0,0.5,0.0,0.0,0,1,,,,,False,0.0,3,0.5
mop.gob.cl,True,False,True,False,True,True,4,4,True,2,NONE,,8.0,0.0,0.0,0.559,0.559,gstatic.com;google-analytics.com;googletagmanager.com,1,1,0,0,0,0,0,,0.0,0.0,0.0,0.5,1,1,True,,,,False,0.5714285714285714,1,0.16666666666666666
museoarqueologicolaserena.gob.cl,False,False,True,False,False,True,0,0,True,0,,,12.0,0.0,0.0,0.946,0.946,openstreetmap.org;unpkg.com;google-analytics.com;googletagmanager.com,2,0,0,0,0,1,1,TLS_1_2,54.0,0.429,0.571,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
sfgp.gob.cl,False,False,True,False,False,True,0,0,True,0,,,20.0,0.4,0.0,0.736,0.845,google-analytics.com;googletagmanager.com;patrimoniovirtual.gob.cl,2,0,0,0,0,1,1,TLS_1_2,54.0,0.429,0.571,0.0,0,1,,,,,False,0.0,2,0.3333333333333333
superir.gob.cl,True,False,False,False,True,True,4,4,False,2,NONE,,84.0,0.857,0.107,0.883,0.883,fbcdn.net;youtube.com;gstatic.com;jnn-pa.googleapis.com;doubleclick.net,1,0,0,0,0,1,0,TLS_1_2,280.0,0.636,0.364,0.5,1,1,True,,,,False,0.5714285714285714,1,0.16666666666666666
