domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
bibliometro.cl,0,1,0,0,0,0,1
escueladegendarmeria.gob.cl,1,0,0,0,1,1,3
hacienda.gob.cl,1,1,1,1,1,1,6
hospitalcalama.gob.cl,0,0,0,0,1,1,2
minmujeryeg.gob.cl,1,1,1,1,1,1,6
modernizacion.gob.cl,1,1,1,1,1,1,6
www.boletinconcursal.cl,0,0,0,0,1,0,1
www.castillodeniebla.gob.cl,0,0,0,0,1,1,2
www.desarrollosocialyfamilia.gob.cl,0,0,0,0,1,0,1
www.economia.gob.cl,1,1,1,1,1,1,6
www.infor.cl,1,1,1,1,1,1,6
www.investchile.gob.cl,0,0,0,0,1,0,1
www.lab.gob.cl,1,1,0,0,1,0,3
www.minrel.gob.cl,1,1,1,1,1,1,6
www.monumentos.gob.cl,1,0,0,0,1,1,3
www.mop.gob.cl,1,0,0,0,0,0,1
www.museoarqueologicolaserena.gob.cl,0,0,0,0,1,1,2
www.sfgp.gob.cl,0,0,0,0,1,1,2
www.superir.gob.cl,0,0,0,0,1,0,1
www.tdpi.cl,1,1,1,1,1,1,6
