domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
comisionacionaldebusqueda.gob.mx,True,False,False,True,True,False,5,3,False,0,,,8.0,0.0,0.0,0.713,0.713,gstatic.com;fonts.googleapis.com;fontawesome.com;unpkg.com;google-analytics.com,1,0,0,0,1,0,0,TLS_1_3,61.0,0.5,0.0,0.0,0,1,,,,,False,0.7142857142857143,1,0.16666666666666666
culturabcs.gob.mx,True,False,False,False,True,True,5,3,False,4,NONE,,136.0,0.926,0.081,0.939,0.948,youtube.com;fbcdn.net;cloudflare.com;sharethis.com;gstatic.com,0,0,0,0,0,0,0,TLS_1_2,44.0,0.636,0.364,0.5,1,1,True,,,,False,0.7142857142857143,0,0.0
datos.gob.mx,True,False,True,False,True,True,4,6,True,1,NONE,,23.0,0.0,0.043,0.699,0.699,jsdelivr.net;go-mpulse.net;google-analytics.com;googletagmanager.com;akstat.io,0,0,0,0,0,0,0,TLS_1_3,130.0,0.667,0.0,0.5,1,1,True,,,,False,0.5714285714285714,0,0.0
gob.mx,True,False,False,False,True,False,0,0,False,0,,,10.0,0.0,0.2,0.74,0.753,gstatic.com;jsdelivr.net;fonts.googleapis.com;go-mpulse.net;google-analytics.com,0,0,0,0,0,0,0,TLS_1_3,48.0,0.765,0.0,0.0,0,1,,,,,False,0.0,0,0.0
manzanillo.gob.mx,True,False,False,True,True,False,4,3,False,0,NONE,,2.0,0.0,0.0,0.807,0.816,gstatic.com;facebook.net;facebook.com;fonts.googleapis.com;unpkg.com,2,0,0,0,0,1,1,TLS_1_3,89.0,0.619,0.238,0.5,1,1,True,,,,False,0.5714285714285714,2,0.3333333333333333
poderjudicialqro.gob.mx,True,False,False,False,True,False,4,9,False,8,,,0.0,0.0,0.0,0.682,0.751,cloudflare.com;jsdelivr.net;fontawesome.com;fonts.googleapis.com;infomexsinaloa.org,0,0,0,0,0,0,0,TLS_1_3,65.0,0.596,0.34,0.0,0,1,,,,,False,0.5714285714285714,0,0.0
queretaro.gob.mx,True,False,False,False,True,True,8,4,False,0,NONE,,13.0,0.0,0.308,0.256,0.256,google-analytics.com;googletagmanager.com;google.com;doubleclick.net;google.es,2,0,0,0,0,1,1,,0.0,0.0,0.0,0.5,1,1,True,,,,False,1.1428571428571428,2,0.3333333333333333
salud.cdmx.gob.mx,False,False,True,False,False,True,0,0,True,0,,,7.0,0.0,0.0,0.818,0.818,youtube.com;google-analytics.com;googletagmanager.com,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,0,0.0
saludtlax.gob.mx,True,False,False,True,True,True,4,0,False,0,NONE,,0.0,0.0,0.0,0.605,0.605,gstatic.com;fonts.googleapis.com;bootstrapcdn.com,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.5,1,1,True,,,,False,0.5714285714285714,0,0.0
te.gob.mx,True,False,False,True,True,False,4,106,True,29,NONE,,61.0,0.0,0.164,0.39,0.39,fontawesome.com;google.com;googletagmanager.com;doubleclick.net;google.es,1,0,0,0,0,1,0,TLS_1_3,251.0,0.625,0.0,0.5,1,1,True,,,,False,0.5714285714285714,1,0.16666666666666666
uniondetula.gob.mx,True,False,False,False,True,False,0,0,False,0,,,37.0,0.973,0.243,0.884,0.884,fbcdn.net;gstatic.com;facebook.com;fonts.googleapis.com;ytimg.com,1,0,1,0,0,0,0,TLS_1_3,87.0,0.417,0.333,0.0,0,1,,,,,False,0.0,1,0.16666666666666666
