domain,transfer_scope_norm,cookie_ownership_mixed,consent_mechanism,automated_decisions,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,possible_transfer_violation,matches,violations,unevaluable,compliance_score
administracion.gob.es,INTRA_EU,True,banner,True,14.0,0.0,0.357,0.277,0.277,,False,True,,True,2,1,2,0.6666666666666666
administracionelectronica.gob.es,,False,,False,479.0,0.173,0.712,0.806,0.806,,,,False,,0,1,4,0.0
aemps.gob.es,,False,,False,0.0,0.0,0.0,0.571,0.571,,,,False,,0,1,4,0.0
carpetaciudadana.gob.es,INTRA_EU,False,cmp,False,9.0,0.0,1.0,0.972,0.972,True,,True,False,False,2,2,1,0.5
cibim.transportes.gob.es,,False,none,False,73.0,0.986,0.123,0.857,0.893,,,,False,,0,1,4,0.0
ciencia.sede.gob.es,,False,,True,1.0,0.0,1.0,0.388,0.388,,,,False,,0,1,4,0.0
clave.gob.es,,False,,False,246.0,0.22,0.065,0.72,0.73,,,,False,,0,1,4,0.0
cnrha.sanidad.gob.es,,False,,False,0.0,0.0,0.0,0.375,0.396,,,,False,,0,1,4,0.0
cpage.mpr.gob.es,,False,,True,43.0,0.209,0.209,0.844,0.964,,,,False,,0,1,4,0.0
datos.gob.es,,False,,False,139.0,0.777,0.209,0.623,0.623,,,,False,,0,1,4,0.0
derechosdigitales.gob.es,,True,banner,False,3.0,0.0,0.667,0.47,0.47,,,True,,,1,0,4,1.0
dgsfp.mineco.gob.es,,False,none,False,1.0,0.0,1.0,0.263,0.263,,,,False,,0,1,4,0.0
digital.gob.es,,True,banner,False,214.0,0.252,0.075,0.758,0.768,,,False,,,0,1,4,0.0
dsca.gob.es,,True,banner,True,1.0,0.0,1.0,0.185,0.185,,,True,,,1,0,4,1.0
educacionfpydeportes.gob.es,,True,banner,False,10.0,0.9,0.1,0.535,0.535,,True,False,False,,1,2,2,0.3333333333333333
esmovilidad.transportes.gob.es,,False,,False,1.0,0.0,0.0,0.0,0.164,,,,True,,1,0,4,1.0
espanadigital.gob.es,,False,,False,13.0,0.0,0.154,0.552,0.552,,,,False,,0,1,4,0.0
exteriores.gob.es,,True,none,False,75.0,0.96,0.16,0.783,0.783,,,,,,0,0,5,
firmaelectronica.gob.es,,True,banner,False,86.0,0.628,0.186,0.735,0.745,,,False,,,0,1,4,0.0
futuros.gob.es,,False,,True,22.0,0.0,0.045,0.742,0.742,,,,False,,0,1,4,0.0
generaciond.gob.es,,False,none,False,8.0,0.0,0.0,0.539,0.539,True,,,,,1,0,4,1.0
hacienda.gob.es,,False,,True,308.0,0.029,0.968,0.429,0.429,,,,False,,0,1,4,0.0
igae.pap.hacienda.gob.es,,False,,True,200.0,0.0,0.965,0.12,0.12,,,,False,,0,1,4,0.0
igualdad.gob.es,,True,banner,True,17.0,0.529,0.0,0.631,0.631,,,False,,,0,1,4,0.0
inclasns.sanidad.gob.es,,False,,False,8.0,0.0,0.0,0.47,0.47,,,,False,,0,1,4,0.0
ingesa.sanidad.gob.es,,False,,True,2.0,0.0,1.0,0.164,0.164,,,,False,,0,1,4,0.0
lamoncloa.gob.es,,True,banner,False,6.0,0.0,0.0,0.214,0.214,,,True,,,1,0,4,1.0
mapa.gob.es,,True,banner,False,165.0,0.491,0.564,0.734,0.734,,,False,,,0,1,4,0.0
mintur.gob.es,,True,banner,True,0.0,0.0,0.0,0.551,0.551,,,True,,,1,0,4,1.0
miteco.gob.es,,True,none,True,15.0,0.6,0.4,0.794,0.798,,,,,,0,0,5,
mites.gob.es,NONE,True,banner,False,139.0,0.281,0.46,0.869,0.87,,,False,,True,1,1,3,0.5
mivau.gob.es,,False,none,False,1.0,0.0,0.0,0.74,0.744,,,,False,,0,1,4,0.0
moncloaabierta.presidencia.gob.es,,True,scroll,False,68.0,0.0,0.956,0.45,0.45,,,,,,0,0,5,
mpr.gob.es,,True,banner,False,1.0,0.0,0.0,0.254,0.254,,,True,,,1,0,4,1.0
mpr.sede.gob.es,,False,,True,1.0,0.0,1.0,0.426,0.426,,,,False,,0,1,4,0.0
mpt.gob.es,,False,,False,166.0,0.0,0.922,0.573,0.573,,,,False,,0,1,4,0.0
planderecuperacion.gob.es,,False,,False,39.0,0.128,0.41,0.828,0.828,,,,False,,0,1,4,0.0
portaldatos.seg-social.gob.es,,True,banner,False,18.0,0.0,1.0,0.437,0.456,,True,True,,,2,0,3,1.0
prtr.miteco.gob.es,NONE,True,none,False,8.0,0.0,1.0,0.355,0.368,,,,,True,1,0,4,1.0
publicaciones.transportes.gob.es,,False,,False,123.0,0.878,0.228,0.692,0.692,,,,False,,0,1,4,0.0
redets.sanidad.gob.es,,False,,False,12.0,0.0,0.0,0.519,0.519,,,,False,,0,1,4,0.0
rpdiscapacidad.gob.es,,False,none,False,8.0,0.0,0.0,0.755,0.755,,,,False,,0,1,4,0.0
sanidad.gob.es,,False,,False,17.0,0.0,0.294,0.6,0.6,,,,False,,0,1,4,0.0
secegsa.gob.es,,True,banner,False,11.0,0.818,0.0,0.826,0.85,,,False,,,0,1,4,0.0
sede.administracion.gob.es,NONE,False,,True,19.0,0.0,0.474,0.435,0.435,,,,False,True,1,1,3,0.5
sede.administracionespublicas.gob.es,,False,,True,4.0,0.0,1.0,0.409,0.409,,,,False,,0,1,4,0.0
sede.agenciatributaria.gob.es,,False,,False,9.0,0.0,0.111,0.685,0.685,,,,False,,0,1,4,0.0
sede.defensa.gob.es,,True,banner,False,1.0,0.0,1.0,0.0,0.0,,,True,,,1,0,4,1.0
sede.dgt.gob.es,,True,cmp,False,117.0,0.077,0.855,0.849,0.885,,,False,,,0,1,4,0.0
sede.fnmt.gob.es,NONE,True,banner,False,9.0,0.0,0.333,0.636,0.646,,,True,,True,2,0,3,1.0
sede.funciona.gob.es,,False,,True,40.0,0.0,0.85,0.429,0.429,,,,False,,0,1,4,0.0
sede.minetur.gob.es,,True,banner,True,,,,,,,,False,,,0,1,4,0.0
sede.mjusticia.gob.es,NONE,True,none,False,7.0,0.0,0.143,0.505,0.505,,,,,True,1,0,4,1.0
sede.mscbs.gob.es,,False,,True,11.0,0.0,1.0,0.586,0.586,,,,False,,0,1,4,0.0
sede.red.gob.es,,False,,False,11.0,0.0,0.182,0.598,0.598,,,,False,,0,1,4,0.0
sede.seg-social.gob.es,,True,banner,True,28.0,0.0,0.607,0.542,0.542,,False,True,,,1,1,3,0.5
sede.sepe.gob.es,,True,banner,False,9.0,0.0,0.889,0.464,0.464,,,True,False,,1,1,3,0.5
sede.tea.hacienda.gob.es,,False,,False,1.0,0.0,1.0,0.0,0.0,,,,True,,1,0,4,1.0
sede.transportes.gob.es,,False,none,False,2.0,0.0,0.0,0.397,0.397,,,,False,,0,1,4,0.0
sedecatastro.gob.es,NONE,False,,False,3.0,0.0,1.0,0.409,0.409,,,,False,True,1,1,3,0.5
sedeminhap.gob.es,INTRA_EU,False,,True,,,,,,,,,False,False,0,2,3,0.0
seguridadaerea.gob.es,,True,none,False,835.0,0.011,0.372,0.626,0.626,,False,,,,0,1,4,0.0
servicios.administraciondigital.gob.es,,True,scroll,False,26.0,0.0,1.0,0.0,0.0,,,,,,0,0,5,
transparencia.gob.es,,True,scroll,False,14.0,0.0,0.286,0.359,0.359,,False,,,,0,1,4,0.0
