domain,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage,status,http_status
sede.mscbs.gob.es,0,0,0,0,0,0,OK,200.0
cnrha.sanidad.gob.es,0,0,0,0,0,0,OK,200.0
www.miteco.gob.es,1,1,0,0,0,1,OK,200.0
sede.mjusticia.gob.es,0,0,0,0,0,0,OK,200.0
cpage.mpr.gob.es,1,1,0,0,0,1,OK,200.0
www.mites.gob.es,1,1,0,0,0,1,OK,200.0
sede.red.gob.es,0,0,0,0,0,0,OK,200.0
datos.gob.es,1,1,0,0,0,1,OK,200.0
denuncias.mitma.gob.es,1,1,0,0,0,1,OK,200.0
www.mivau.gob.es,0,0,0,0,0,0,OK,200.0
sede.seg-social.gob.es,1,1,0,0,0,1,OK,200.0
www.mpr.gob.es,0,0,0,0,0,0,OK,200.0
sede.tea.hacienda.gob.es,0,0,0,0,0,0,OK,200.0
sede.sepe.gob.es,0,0,0,0,0,0,OK,200.0
www.mptfp.gob.es,1,1,1,0,0,0,OK,200.0
digital.gob.es,0,0,0,0,0,0,OK,200.0
sede.transparencia.gob.es,1,1,0,0,0,1,OK,200.0
esmovilidad.transportes.gob.es,0,0,0,0,0,0,OK,200.0
dgsfp.mineco.gob.es,1,1,0,0,0,1,OK,200.0
www.rpdiscapacidad.gob.es,1,1,0,0,0,1,OK,200.0
www.prtr.miteco.gob.es,1,1,0,0,0,1,OK,200.0
sede.transportes.gob.es,1,1,0,0,0,1,OK,200.0
sedeagpd.gob.es,0,0,0,0,0,0,OK,200.0
firmaelectronica.gob.es,0,0,0,0,0,0,OK,200.0
espanadigital.gob.es,1,1,0,0,0,1,OK,200.0
sedeaplicaciones.minetur.gob.es,0,0,0,0,0,0,OK,200.0
www.sanidad.gob.es,0,0,0,0,0,0,OK,200.0
futuros.gob.es,0,0,0,0,0,0,OK,200.0
www.secegsa.gob.es,1,1,0,0,0,1,OK,200.0
www.sede.fnmt.gob.es,1,1,0,0,0,1,OK,200.0
generaciond.gob.es,0,0,0,0,0,0,OK,200.0
www.sedecatastro.gob.es,0,0,0,0,0,0,OK,200.0
sedeminhap.gob.es,0,0,0,0,0,0,OK,200.0
www.mintur.gob.es,1,1,0,0,0,1,OK,200.0
igualdad.sede.gob.es,0,0,0,0,0,0,OK,200.0
www.seguridadaerea.gob.es,1,1,0,0,0,1,OK,200.0
sedediatid.digital.gob.es,1,4,1,1,1,1,"ERROR Page.goto: Timeout 40000ms exceeded.
Call log:
navigating to ""https://sedediatid.digital.gob.es/"", waiting until ""load""
",
servicios.administraciondigital.gob.es,0,0,0,0,0,0,OK,200.0
inclasns.sanidad.gob.es,0,0,0,0,0,0,OK,200.0
ingesa.sanidad.gob.es,0,0,0,0,0,0,OK,200.0
www.transportes.gob.es,0,0,0,0,0,0,OK,200.0
spainaudiovisualhub.mineco.gob.es,1,1,0,0,0,1,OK,200.0
mapas.fomento.gob.es,0,0,0,0,0,0,OK,200.0
transparencia.gob.es,1,1,0,0,0,1,OK,200.0
moncloaabierta.presidencia.gob.es,1,1,0,0,0,1,OK,200.0
mapaoficialcarreteras.transportes.gob.es,1,1,0,0,0,1,OK,200.0
mpr.sede.gob.es,1,1,0,0,0,1,OK,200.0
mpt.gob.es,1,1,1,0,0,0,OK,200.0
veranojoven.transportes.gob.es,1,1,0,0,0,1,OK,200.0
lssi.mineco.gob.es,1,4,1,1,1,1,"ERROR Page.goto: Timeout 40000ms exceeded.
Call log:
navigating to ""https://lssi.mineco.gob.es/"", waiting until ""load""
",
violenciagenero.igualdad.gob.es,1,1,0,0,0,1,OK,200.0
