domain,transfer_scope_norm,cookie_ownership_mixed,consent_mechanism,automated_decisions,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,possible_transfer_violation,matches,violations,unevaluable,compliance_score
brent.gov.uk,,False,,True,35.0,0.0,0.086,0.902,0.902,,,,False,,0,1,4,0.0
broxtowe.gov.uk,,False,,False,7.0,0.0,0.143,0.954,0.954,,,,False,,0,1,4,0.0
data.gov.uk,INTRA_EU,False,banner,False,1.0,0.0,0.0,0.643,0.643,True,,True,False,True,3,1,1,0.75
eden.gov.uk,,True,banner,False,1.0,0.0,1.0,0.3,0.3,,,True,,,1,0,4,1.0
elmbridge.gov.uk,NONE,False,,True,12.0,0.0,0.0,0.304,0.304,,,,False,True,1,1,3,0.5
fenland.gov.uk,,True,none,False,0.0,0.0,0.0,0.587,0.587,,True,,False,,1,1,3,0.5
gov.uk,,False,banner,False,1.0,0.0,0.0,0.96,0.04,True,,True,False,,2,1,2,0.6666666666666666
harpenden.gov.uk,,False,,False,9.0,0.0,0.111,0.882,0.882,,,,False,,0,1,4,0.0
harrow.gov.uk,,True,banner,True,24.0,0.0,0.208,0.848,0.848,,,True,,,1,0,4,1.0
judicialappointments.gov.uk,,True,none,False,23.0,0.0,0.087,0.919,0.919,,,,,,0,0,5,
lancaster.gov.uk,NONE,False,,False,0.0,0.0,0.0,0.692,0.692,,,,False,True,1,1,3,0.5
newforest.gov.uk,,True,banner,True,0.0,0.0,0.0,0.704,0.704,,,True,,,1,0,4,1.0
pendle.gov.uk,,False,cmp,False,22.0,0.0,0.182,0.922,0.922,,,True,False,,1,1,3,0.5
preston.gov.uk,,True,banner,False,0.0,0.0,0.0,0.242,0.263,,,True,,,1,0,4,1.0
scilly.gov.uk,,False,cmp,False,12.0,0.0,0.0,0.684,0.684,,,True,False,,1,1,3,0.5
telford.gov.uk,INTRA_EU,True,banner,True,19.0,0.0,0.421,0.888,0.888,,,True,,True,2,0,3,1.0
truro.gov.uk,,False,,False,0.0,0.0,0.0,0.259,0.259,,,,False,,0,1,4,0.0
woking.gov.uk,NONE,True,banner,True,137.0,0.92,0.197,0.94,0.94,,,False,,True,1,1,3,0.5
york.gov.uk,,False,,True,7.0,0.429,0.857,0.651,0.651,,,,False,,0,1,4,0.0
