domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
brent.gov.uk,True,False,True,False,True,True,7,11,True,39,,,35.0,0.0,0.086,0.902,0.902,fontawesome.com;onetrust.com;browsealoud.com;google-analytics.com;googletagmanager.com,4,1,1,0,0,1,1,TLS_1_2,177,1.0,0.0,0.0,0,1,,,,,False,1.0,4,0.6666666666666666
broxtowe.gov.uk,True,False,False,True,True,True,14,3,True,4,,,7.0,0.0,0.143,0.954,0.954,fbcdn.net;facebook.com;googletagmanager.com;google-analytics.com;fonts.googleapis.com,3,1,0,0,0,1,1,TLS_1_3,103,0.625,0.0,0.0,0,1,,,,,False,2.0,3,0.5
data.gov.uk,True,True,True,False,True,True,5,1,True,3,INTRA_EU,banner,1.0,0.0,0.0,0.643,0.643,googletagmanager.com,4,1,1,0,0,1,1,TLS_1_3,123,0.417,0.333,0.75,3,1,True,True,,True,False,0.7142857142857143,4,0.6666666666666666
eden.gov.uk,False,True,False,False,False,True,0,0,True,0,,banner,1.0,0.0,1.0,0.3,0.3,civiccomputing.com,3,1,0,0,0,1,1,TLS_1_3,240,0.625,0.0,1.0,1,0,,,,True,,0.0,3,0.5
elmbridge.gov.uk,True,False,True,False,True,True,10,17,True,8,NONE,,12.0,0.0,0.0,0.304,0.304,google-analytics.com;googletagmanager.com;fontawesome.com,6,1,1,1,1,1,1,TLS_1_2,42,0.5,0.5,0.5,1,1,True,,,,False,1.4285714285714286,6,1.0
fenland.gov.uk,True,True,False,True,True,True,3,2,True,13,,none,0.0,0.0,0.0,0.587,0.587,googletagmanager.com;fonts.googleapis.com;gstatic.com,4,1,1,0,0,1,1,TLS_1_2,219,1.0,0.0,0.5,1,1,,,True,,False,0.42857142857142855,4,0.6666666666666666
gov.uk,True,True,True,False,True,True,5,3,True,6,,banner,1.0,0.0,0.0,0.96,0.04,publishing.service.gov.uk,5,1,1,1,0,1,1,TLS_1_3,123,0.417,0.333,0.6666666666666666,2,1,,True,,True,False,0.7142857142857143,5,0.8333333333333334
harpenden.gov.uk,True,False,True,False,True,True,0,2,True,3,,,9.0,0.0,0.111,0.882,0.882,twitter.com;fontawesome.com;gstatic.com;google-analytics.com;ajax.googleapis.com,0,0,0,0,0,0,0,TLS_1_3,79,0.556,0.0,0.0,0,1,,,,,False,0.0,0,0.0
harrow.gov.uk,True,True,False,False,True,True,7,4,True,7,,banner,24.0,0.0,0.208,0.848,0.848,gstatic.com;google-analytics.com;googletagmanager.com;usabilla.com;hotjar.com,2,0,0,0,0,1,1,TLS_1_3,385,0.571,0.0,1.0,1,0,,,,True,,1.0,2,0.3333333333333333
judicialappointments.gov.uk,False,True,False,True,False,True,5,0,True,8,,none,23.0,0.0,0.087,0.919,0.919,wp.com;google-analytics.com;googletagmanager.com;google.com;doubleclick.net,1,1,0,0,0,0,0,TLS_1_3,81,0.625,0.0,,0,0,,,,,,0.7142857142857143,1,0.16666666666666666
