domain,docs,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,rights_avg_per_doc,rights_general_statement,legal_bases_sum,automated_decisions,retention_present,recipients_sum,complaint_authority,cookie_third_party_sum,cookie_mgmt_instructions,cookie_ownership_mixed,legal_ip_notice,legal_liability,max_transfer_scope_rank,transfer_scope,consent_mechanism
brent.gov.uk,3,True,False,True,False,True,True,7,3.5,True,11,True,True,39,False,0,False,False,True,True,,,
broxtowe.gov.uk,5,True,False,False,True,True,True,14,2.8,True,3,False,True,4,True,0,False,False,False,False,,,
data.gov.uk,3,True,True,True,False,True,True,5,5.0,False,1,False,True,3,False,0,True,False,False,True,1.0,INTRA_EU,banner
eden.gov.uk,2,False,True,False,False,False,True,0,,False,0,False,True,0,False,5,True,True,False,False,,,banner
elmbridge.gov.uk,5,True,False,True,False,True,True,10,2.5,False,17,True,True,8,False,0,False,False,True,True,0.0,NONE,
fenland.gov.uk,3,True,True,False,True,True,True,3,1.5,True,2,False,True,13,True,0,True,True,False,False,,,none
gov.uk,3,True,True,True,False,True,True,5,5.0,False,3,False,True,6,False,0,True,False,True,True,,,banner
harpenden.gov.uk,2,True,False,True,False,True,True,0,0.0,True,2,False,True,3,False,0,False,False,True,True,,,
harrow.gov.uk,2,True,True,False,False,True,True,7,7.0,False,4,True,True,7,False,5,False,True,False,False,,,banner
judicialappointments.gov.uk,2,False,True,False,True,False,True,5,5.0,False,0,False,True,8,True,2,True,True,False,False,,,none
lancaster.gov.uk,4,True,False,True,False,True,True,10,5.0,False,6,False,True,4,False,0,False,False,True,True,0.0,NONE,
newforest.gov.uk,3,True,True,False,True,True,True,7,3.5,True,18,True,True,18,False,5,True,True,False,False,,,banner
pendle.gov.uk,1,False,True,False,False,False,True,0,,False,0,False,True,0,False,0,True,False,False,False,,,cmp
preston.gov.uk,3,True,True,False,True,True,True,5,2.5,False,5,False,True,15,False,4,True,True,False,False,,,banner
scilly.gov.uk,2,True,True,False,False,True,True,0,0.0,False,0,False,True,1,False,0,True,False,False,False,,,cmp
telford.gov.uk,2,True,True,False,False,True,True,3,3.0,True,13,True,True,31,False,7,True,True,False,False,1.0,INTRA_EU,banner
truro.gov.uk,1,True,False,False,False,False,False,0,0.0,False,1,False,True,2,False,0,False,False,False,False,,,
woking.gov.uk,4,True,True,False,False,True,True,4,1.3333333333333333,False,5,True,True,26,False,1,True,True,False,False,0.0,NONE,banner
york.gov.uk,2,True,False,True,False,True,True,7,7.0,True,11,True,True,29,False,0,False,False,True,True,,,
