domain,docs,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,rights_avg_per_doc,rights_general_statement,legal_bases_sum,automated_decisions,retention_present,recipients_sum,complaint_authority,cookie_third_party_sum,cookie_mgmt_instructions,cookie_ownership_mixed,legal_ip_notice,legal_liability,max_transfer_scope_rank,transfer_scope,consent_mechanism
castillodeniebla.gob.cl,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,False,,,
desarrollosocialyfamilia.gob.cl,1,True,False,False,False,True,False,5,5.0,True,30,False,False,11,False,0,False,False,False,False,0.0,NONE,
hacienda.gob.cl,2,True,False,True,False,True,True,0,0.0,False,0,False,True,4,False,0,False,False,True,True,0.0,NONE,
investchile.gob.cl,2,True,False,True,False,True,True,4,4.0,False,4,False,True,2,False,0,False,False,True,True,0.0,NONE,
lab.gob.cl,2,True,False,True,False,True,True,4,4.0,False,3,False,True,0,False,0,False,False,True,True,,,
minmujeryeg.gob.cl,1,True,False,False,False,True,False,5,5.0,False,1,False,False,3,False,0,False,False,False,False,,,
minrel.gob.cl,1,True,False,False,False,True,True,5,5.0,False,3,False,True,2,False,0,False,False,False,False,,,
monumentos.gob.cl,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,False,,,
mop.gob.cl,2,True,False,True,False,True,True,4,4.0,False,4,False,True,2,False,0,False,False,True,True,0.0,NONE,
museoarqueologicolaserena.gob.cl,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
sfgp.gob.cl,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,False,,,
superir.gob.cl,1,True,False,False,False,True,True,4,4.0,False,4,False,False,2,False,0,False,False,False,False,0.0,NONE,
