domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_font,resources_image,resources_imageset,resources_main_frame,resources_media,resources_object,resources_script,resources_stylesheet,resources_sub_frame,resources_websocket,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
comisionacionaldebusqueda.gob.mx,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,341,243,0.713,8,gstatic.com;fonts.googleapis.com;fontawesome.com;unpkg.com;google-analytics.com,243,0.713,0,131,21,1,1,0,0,67,84,0,0,36,0,0,0,1,0,0,1,,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",61.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,0.0,1,1,0,0,0,1
condusef.gob.mx,14.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,421,332,0.789,12,fontawesome.com;gstatic.com;google-analytics.com;googletagmanager.com;cdn.gob.mx,308,0.732,0,156,94,0,1,6,2,70,50,0,2,40,1,0,0,0,1,1,3,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1,1,0,0,0,1
culturabcs.gob.mx,136.0,126.0,0.926,1.0,youtube.com,126.0,0.926,90.0,0.662,91.0,0.669,11.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,177.0,397.0,671,636,0.948,19,youtube.com;fbcdn.net;cloudflare.com;sharethis.com;gstatic.com,630,0.939,9,55,130,0,1,0,0,244,77,47,0,108,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",44.0,22.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,14.0,0.636,8.0,0.364,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,1,0,0,0,1
datos.gob.mx,23.0,0.0,0.0,0.0,,0.0,0.0,8.0,0.348,3.0,0.13,1.0,0.043,0.0,3.0,8.0,0.0,0.13,0.348,-3.0,4.0,397.0,103,72,0.699,5,jsdelivr.net;go-mpulse.net;google-analytics.com;googletagmanager.com;akstat.io,72,0.699,0,3,12,0,1,0,0,35,12,0,0,40,0,0,0,0,0,0,0,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US",130.0,9.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,6.0,0.667,0.0,0.0,,0.0,1,2,1,0,0,1
eduardoneri.gob.mx,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,1959,1692,0.864,7,fbcdn.net;maps.googleapis.com;gstatic.com;facebook.com;facebook.net,1692,0.864,0,109,565,14,5,0,0,816,234,54,0,162,1,0,0,1,1,1,4,certinfo_error ('NoneType' object has no attribute 'get'),,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1,4,1,1,1,1
gob.mx,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.1,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,146,110,0.753,7,gstatic.com;jsdelivr.net;fonts.googleapis.com;go-mpulse.net;google-analytics.com,108,0.74,0,28,16,0,1,0,0,35,39,0,0,27,0,0,0,0,0,0,0,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",48.0,17.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_AES_128_CCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CCM;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CCM;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,13.0,0.765,0.0,0.0,,0.0,1,1,0,0,0,1
manzanillo.gob.mx,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,212,173,0.816,7,gstatic.com;facebook.net;facebook.com;fonts.googleapis.com;unpkg.com,171,0.807,0,76,18,0,1,0,0,65,16,36,0,0,0,0,0,0,1,1,2,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",89.0,21.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,13.0,0.619,5.0,0.238,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,0,0,0,0,0,0
municipiodurango.gob.mx,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,92,0.477,3,fonts.googleapis.com;gstatic.com;awiwichannel.com,90,0.466,0,57,9,1,1,0,0,39,86,0,0,0,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048.0,,"CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",90.0,31.0,TLS_RSA_WITH_SEED_CBC_SHA;TLS_RSA_WITH_RC4_128_SHA;TLS_RSA_WITH_RC4_128_MD5;TLS_RSA_WITH_IDEA_CBC_SHA;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_RC4_128_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA;TLS_DHE_RSA_WITH_SEED_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,18.0,0.581,16.0,0.516,TLS_RSA_WITH_SEED_CBC_SHA;TLS_RSA_WITH_RC4_128_SHA;TLS_RSA_WITH_RC4_128_MD5;TLS_RSA_WITH_IDEA_CBC_SHA;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_RC4_128_SHA;TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA;TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA,0.0,1,1,0,0,0,1
poderjudicialqro.gob.mx,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,184,0.751,10,cloudflare.com;jsdelivr.net;fontawesome.com;fonts.googleapis.com;infomexsinaloa.org,167,0.682,0,29,63,0,1,0,0,70,68,0,7,7,0,0,0,0,0,0,0,,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",65.0,47.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,28.0,0.596,16.0,0.34,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,4,1,1,1,1
portal.saludsonora.gob.mx,73.0,72.0,0.986,1.0,youtube.com,72.0,0.986,36.0,0.493,37.0,0.507,10.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,177.0,883,814,0.922,12,fbcdn.net;youtube.com;twitter.com;gstatic.com;jnn-pa.googleapis.com,810,0.917,9,38,341,0,1,0,0,264,95,36,0,99,0,0,0,0,0,0,0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
