domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
comisionacionaldebusqueda.gob.mx,0,0,0,1,0,0,1
culturabcs.gob.mx,0,0,0,0,0,0,0
datos.gob.mx,0,0,0,0,0,0,0
eduardoneri.gob.mx,1,0,0,1,1,1,4
manzanillo.gob.mx,0,0,0,0,1,1,2
portal.saludsonora.gob.mx,0,0,0,0,0,0,0
queretaro.gob.mx,0,0,0,0,1,1,2
taxco.gob.mx,0,0,0,0,0,0,0
ubbj.gob.mx,1,1,1,1,1,1,6
uniondetula.gob.mx,0,1,0,0,0,0,1
www.condusef.gob.mx,1,0,0,0,1,1,3
www.gob.mx,0,0,0,0,0,0,0
www.municipiodurango.gob.mx,0,0,0,0,0,0,0
www.poderjudicialqro.gob.mx,0,0,0,0,0,0,0
www.salud.cdmx.gob.mx,0,0,0,0,0,0,0
www.saludtlax.gob.mx,0,0,0,0,0,0,0
www.sigaif.gob.mx,0,0,0,0,0,0,0
www.te.gob.mx,0,0,0,0,1,0,1
www.tribunaloaxaca.gob.mx,1,0,0,0,0,0,1
