domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
administracion.gob.es,True,True,True,False,True,True,7,1,True,1,INTRA_EU,banner,14.0,0.0,0.357,0.277,0.277,google.com;doubleclick.net;googletagmanager.com;google.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,53.0,0.5,0.0,0.6666666666666666,2,1,True,,False,True,,1.0,4.0,0.6666666666666666
administracionelectronica.gob.es,True,False,True,False,True,True,0,0,True,0,,,479.0,0.173,0.712,0.806,0.806,twitter.com;youtube.com;jnn-pa.googleapis.com;doubleclick.net;google-analytics.com,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TLS_1_3,46.0,0.5,0.0,0.0,0,1,,,,,False,0.0,1.0,0.16666666666666666
aemps.gob.es,False,False,True,False,False,True,0,0,True,0,,,0.0,0.0,0.0,0.571,0.571,cloudflare.com;gstatic.com;ajax.googleapis.com;jsdelivr.net;googletagmanager.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.0,0.0,0.0
carpetaciudadana.gob.es,True,True,True,False,True,True,6,2,True,8,INTRA_EU,cmp,9.0,0.0,1.0,0.972,0.972,redsara.es,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_2,53.0,0.636,0.364,0.5,2,2,False,True,,True,False,0.8571428571428571,4.0,0.6666666666666666
cibim.transportes.gob.es,False,True,True,False,False,True,0,0,True,0,,none,73.0,0.986,0.123,0.857,0.893,youtube.com;fonts.googleapis.com;gstatic.com;jnn-pa.googleapis.com;doubleclick.net,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,53.0,0.5,0.0,0.0,0,1,,,,,False,0.0,4.0,0.6666666666666666
ciencia.sede.gob.es,False,False,True,True,False,True,6,0,True,0,,,1.0,0.0,1.0,0.388,0.388,googletagmanager.com;redsara.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,TLS_1_3,298.0,0.5,0.0,0.0,0,1,,,,,False,0.8571428571428571,4.0,0.6666666666666666
clave.gob.es,False,True,True,False,False,True,0,0,True,0,,,246.0,0.22,0.065,0.72,0.73,adobedtm.com;demdex.net;omtrdc.net;everesttech.net;rum.hlx.page,4.0,1.0,1.0,0.0,0.0,1.0,1.0,TLS_1_3,223.0,0.5,0.0,0.0,0,1,,,,,False,0.0,4.0,0.6666666666666666
cnrha.sanidad.gob.es,False,False,True,False,False,True,0,0,True,0,,,0.0,0.0,0.0,0.375,0.396,fonts.googleapis.com;gstatic.com;mscbs.es,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TLS_1_2,54.0,0.4,0.6,0.0,0,1,,,,,False,0.0,0.0,0.0
cpage.mpr.gob.es,False,False,True,True,False,True,5,0,True,0,INTERNATIONAL,,43.0,0.209,0.209,0.844,0.964,wp.com;gstatic.com;google.com;mpr.es;translate-pa.googleapis.com,1.0,0.0,0.0,0.0,1.0,0.0,0.0,TLS_1_3,78.0,0.367,0.533,0.0,0,1,,,,,False,0.7142857142857143,1.0,0.16666666666666666
datos.gob.es,False,False,True,False,False,True,0,0,True,0,,,139.0,0.777,0.209,0.623,0.623,insuit.net;clarity.ms;google-analytics.com;googletagmanager.com;hotjar.com,2.0,0.0,0.0,0.0,0.0,1.0,1.0,TLS_1_2,207.0,0.4,0.6,0.0,0,1,,,,,False,0.0,2.0,0.3333333333333333
