domain,docs,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,rights_avg_per_doc,rights_general_statement,legal_bases_sum,automated_decisions,retention_present,recipients_sum,complaint_authority,cookie_third_party_sum,cookie_mgmt_instructions,cookie_ownership_mixed,legal_ip_notice,legal_liability,max_transfer_scope_rank,transfer_scope,consent_mechanism
administracion.gob.es,3,True,True,True,False,True,True,7,7.0,False,1,True,True,1,False,1,True,True,True,True,1.0,INTRA_EU,banner
administracionelectronica.gob.es,2,True,False,True,False,True,True,0,0.0,False,0,False,True,0,False,0,False,False,True,True,,,
aemps.gob.es,2,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
carpetaciudadana.gob.es,5,True,True,True,False,True,True,6,6.0,False,2,False,True,8,False,0,True,False,True,True,1.0,INTRA_EU,cmp
cibim.transportes.gob.es,2,False,True,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,False,True,,,none
ciencia.sede.gob.es,4,False,False,True,True,False,True,6,2.0,False,0,True,True,0,True,0,False,False,True,False,,,
clave.gob.es,2,False,True,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
cnrha.sanidad.gob.es,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
cpage.mpr.gob.es,2,False,False,True,True,False,True,5,5.0,False,0,True,True,0,False,0,False,False,True,True,2.0,INTERNATIONAL,
datos.gob.es,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
derechosdigitales.gob.es,2,False,True,True,False,False,True,0,,False,0,False,True,0,False,2,True,True,True,True,,,banner
dgsfp.mineco.gob.es,2,False,True,False,True,False,True,0,0.0,False,0,False,True,0,False,0,False,False,False,False,,,none
digital.gob.es,3,False,True,True,True,False,True,0,0.0,True,0,False,True,0,True,2,True,True,True,True,,,banner
dsca.gob.es,3,True,True,True,False,True,True,7,7.0,False,2,True,True,1,False,4,True,True,True,True,,,banner
educacionfpydeportes.gob.es,6,False,True,True,True,False,True,0,0.0,True,0,False,True,0,True,0,True,True,True,True,,,banner
esmovilidad.transportes.gob.es,2,False,False,True,True,False,True,0,0.0,False,0,False,True,0,False,0,False,False,False,True,,,
espanadigital.gob.es,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
exteriores.gob.es,4,True,True,True,True,True,True,6,3.0,False,4,False,True,1,False,3,True,True,True,True,,,none
firmaelectronica.gob.es,2,False,True,True,False,False,True,0,,False,0,False,True,0,False,2,True,True,True,True,,,banner
futuros.gob.es,2,False,False,True,True,False,True,5,5.0,False,0,True,True,1,True,0,False,False,True,True,2.0,INTERNATIONAL,
generaciond.gob.es,3,False,True,True,True,False,True,0,0.0,True,0,False,True,0,True,1,True,False,True,True,,,none
hacienda.gob.es,3,True,False,True,True,True,True,11,5.5,False,0,True,True,2,True,0,False,False,True,True,2.0,INTERNATIONAL,
igae.pap.hacienda.gob.es,2,False,False,True,True,False,True,6,6.0,False,0,True,True,0,True,0,False,False,True,True,2.0,INTERNATIONAL,
igualdad.gob.es,3,False,True,True,True,False,True,7,7.0,False,0,True,True,0,True,1,False,True,True,True,,,banner
inclasns.sanidad.gob.es,1,False,False,True,False,False,True,0,,False,0,False,True,0,False,0,False,False,True,True,,,
