domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
administracion.gob.es,1,0,0,1,1,1,4
administracionelectronica.gob.es,0,0,0,0,1,0,1
avance.digital.gob.es,0,1,0,0,1,1,3
carpetaciudadana.gob.es,1,1,0,0,1,1,4
cibim.transportes.gob.es,1,0,0,1,1,1,4
ciencia.sede.gob.es,1,0,0,1,1,1,4
ciudadaniaexterior.inclusion.gob.es,1,1,0,0,1,1,4
clave.gob.es,1,1,0,0,1,1,4
cnrha.sanidad.gob.es,0,0,0,0,0,0,0
cpage.mpr.gob.es,0,0,0,1,0,0,1
datos.gob.es,0,0,0,0,1,1,2
denuncias.mitma.gob.es,1,1,1,1,1,1,6
dgsfp.mineco.gob.es,0,1,0,0,1,1,3
digital.gob.es,1,1,0,0,1,1,4
esmovilidad.transportes.gob.es,1,0,0,1,1,1,4
espanadigital.gob.es,1,1,0,1,1,1,5
firmaelectronica.gob.es,1,1,0,0,1,1,4
futuros.gob.es,1,0,0,1,1,1,4
generaciond.gob.es,1,0,0,1,1,1,4
igualdad.sede.gob.es,1,0,0,1,1,1,4
inclasns.sanidad.gob.es,1,0,0,0,1,1,3
ingesa.sanidad.gob.es,1,1,0,1,1,1,5
lssi.digital.gob.es,0,1,0,0,1,1,3
lssi.mineco.gob.es,0,0,0,0,0,0,0
mapaoficialcarreteras.transportes.gob.es,1,0,0,1,1,1,4
mapas.fomento.gob.es,0,0,0,0,0,0,0
moncloaabierta.presidencia.gob.es,1,1,0,0,1,1,4
mpr.sede.gob.es,1,0,0,1,1,1,4
mpt.gob.es,1,0,0,0,1,1,3
planderecuperacion.gob.es,1,0,0,1,1,1,4
portal.mineco.gob.es,0,1,0,0,1,1,3
portalayudas.digital.gob.es,0,1,0,0,1,1,3
portaldatos.seg-social.gob.es,1,1,0,0,1,1,4
prensa.mites.gob.es,1,1,1,1,0,1,5
publicaciones.transportes.gob.es,1,0,0,1,1,1,4
redets.sanidad.gob.es,0,0,0,0,0,0,0
registrodelicitadores.gob.es,0,0,0,0,0,0,0
saludconevidencia.aemps.gob.es,0,0,0,0,0,0,0
sede.administracion.gob.es,1,0,0,1,1,1,4
sede.administracionespublicas.gob.es,1,0,0,1,1,1,4
sede.agenciatributaria.gob.es,1,1,0,0,1,0,3
sede.defensa.gob.es,1,0,0,0,1,1,3
sede.dgt.gob.es,0,0,0,1,0,1,2
sede.funciona.gob.es,0,0,0,1,1,1,3
sede.hacienda.gob.es,1,1,1,1,1,1,6
sede.inclusion.gob.es,1,1,0,0,1,1,4
sede.interior.gob.es,1,0,0,0,0,0,1
sede.minetur.gob.es,0,0,0,0,0,0,0
sede.mir.gob.es,0,0,0,0,0,0,0
sede.mjusticia.gob.es,1,0,0,0,1,1,3
sede.mscbs.gob.es,0,0,0,0,0,0,0
sede.red.gob.es,1,1,0,1,1,1,5
sede.seg-social.gob.es,1,1,0,1,1,1,5
sede.sepe.gob.es,0,0,0,0,0,0,0
sede.serviciosmin.gob.es,0,1,0,0,1,1,3
sede.tea.hacienda.gob.es,1,1,0,0,0,0,2
sede.transparencia.gob.es,1,0,0,1,1,1,4
sede.transportes.gob.es,1,0,0,0,1,1,3
sedeaepd.gob.es,1,0,0,0,1,0,2
sedeagpd.gob.es,0,0,0,0,0,0,0
sedeaplicaciones.minetur.gob.es,0,0,0,0,0,0,0
sedediatid.digital.gob.es,0,1,0,0,1,1,3
sedeminhap.gob.es,0,0,0,0,0,0,0
servicios.administraciondigital.gob.es,0,0,0,0,0,0,0
spainaudiovisualhub.mineco.gob.es,1,1,1,1,1,1,6
transparencia.gob.es,1,0,0,0,1,1,3
usuariosteleco.digital.gob.es,0,1,0,0,1,1,3
usuariosteleco.mineco.gob.es,0,0,0,0,0,0,0
veranojoven.transportes.gob.es,1,0,0,1,1,1,4
violenciagenero.igualdad.gob.es,1,1,1,1,1,1,6
www.aemps.gob.es,0,0,0,0,0,0,0
www.agenciatributaria.gob.es,0,0,0,0,0,0,0
www.ciencia.gob.es,1,0,0,0,1,1,3
www.cultura.gob.es,1,0,0,0,1,0,2
www.defensa.gob.es,1,1,0,0,1,1,4
www.derechosdigitales.gob.es,0,0,0,0,0,0,0
www.dsca.gob.es,0,0,0,0,1,1,2
www.educacionfpydeportes.gob.es,1,1,0,0,1,1,4
www.exteriores.gob.es,0,1,0,0,1,1,3
www.hacienda.gob.es,1,1,0,0,1,1,4
www.igae.pap.hacienda.gob.es,1,1,1,1,1,1,6
www.igualdad.gob.es,1,1,1,1,1,1,6
www.inclusion.gob.es,1,1,0,0,1,1,4
www.interior.gob.es,1,0,0,0,1,0,2
www.juventudeinfancia.gob.es,0,0,0,0,1,1,2
www.lamoncloa.gob.es,1,1,0,0,1,1,4
www.mapa.gob.es,1,1,0,0,1,1,4
www.mintur.gob.es,0,1,0,0,1,1,3
www.miteco.gob.es,1,1,1,1,1,1,6
www.mites.gob.es,1,1,1,1,1,1,6
www.mivau.gob.es,1,0,0,1,1,1,4
www.mpr.gob.es,1,1,0,0,1,1,4
www.mptfp.gob.es,0,0,0,0,0,0,0
www.prtr.miteco.gob.es,1,1,1,1,1,1,6
www.rpdiscapacidad.gob.es,1,1,0,0,1,1,4
www.sanidad.gob.es,0,0,0,0,0,0,0
www.secegsa.gob.es,1,0,0,1,1,1,4
www.sede.fnmt.gob.es,1,0,0,0,1,1,3
www.sedecatastro.gob.es,0,0,0,0,0,1,1
www.seguridadaerea.gob.es,1,0,0,0,0,1,2
www.transportes.gob.es,1,0,0,1,1,1,4
