domain,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_fs,tls_cipher_suites_list,tls_cipher_suites_weak,tls_cipher_weak_list,tls_hsts
cpage.mpr.gob.es,,TLS_1_3,RSAPublicKey,4096,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",78,30,11,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,16,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0
redets.sanidad.gob.es,,TLS_1_2,RSAPublicKey,2048,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",54,5,2,TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3,TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256,0
mapaoficialcarreteras.transportes.gob.es,,TLS_1_3,RSAPublicKey,2048,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",53,46,27,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,16,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1
sede.sepe.gob.es,,TLS_1_3,RSAPublicKey,2048,,"CN=SSL.com EV Root Certification Authority RSA R2,O=SSL Corporation,L=Houston,ST=Texas,C=US",246,9,2,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,4,TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0
digital.gob.es,,TLS_1_3,RSAPublicKey,2048,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",76,6,3,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0,,1
portaldatos.seg-social.gob.es,,TLS_1_3,ECPublicKey,256,secp256r1,"CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US",82,9,6,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0,,1
sede.mscbs.gob.es,certinfo_error ('NoneType' object has no attribute 'get'),,,0,,,0,0,0,,0,,0
sede.inclusion.gob.es,,TLS_1_3,RSAPublicKey,2048,,"OU=AC Componentes Informáticos,O=FNMT-RCM,C=ES",54,16,7,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1
publicaciones.transportes.gob.es,,TLS_1_3,RSAPublicKey,2048,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",53,47,28,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,16,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1
juventudeinfancia.gob.es,,TLS_1_2,RSAPublicKey,2048,,"OU=AC Componentes Informáticos,O=FNMT-RCM,C=ES",341,21,8,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,14,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,0
