domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
dhs.sa.gov.au,0,0,0,0,1,1,2
donotcall.gov.au,0,0,0,0,0,0,0
dpcd.vic.gov.au,0,0,0,0,0,0,0
fishing.tas.gov.au,1,1,1,1,1,1,6
fpa.tas.gov.au,0,0,0,0,1,1,2
hqcc.qld.gov.au,0,0,0,0,0,0,0
humanrights.gov.au,1,0,1,0,1,1,4
ipaustralia.gov.au,1,0,0,0,0,0,1
migration.sa.gov.au,0,0,0,0,1,1,2
moneysmart.gov.au,1,1,1,1,1,1,6
museumsvictoria.com.au,1,0,0,0,1,1,3
parks.tas.gov.au,1,1,1,1,1,1,6
schoolbuses.wa.gov.au,1,0,0,0,1,0,2
training.gov.au,1,0,0,0,0,0,1
www.cdpp.gov.au,1,0,0,0,1,1,3
www.exportfinance.gov.au,1,0,1,0,1,1,4
www.health.vic.gov.au,1,1,1,1,1,1,6
www.indigenous.gov.au,1,0,0,0,1,1,3
www.justice.qld.gov.au,1,0,0,0,1,1,3
www.police.sa.gov.au,0,0,0,0,1,1,2
www.productsafety.gov.au,1,0,0,0,1,1,3
