domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_font,resources_image,resources_imageset,resources_main_frame,resources_media,resources_script,resources_stylesheet,resources_sub_frame,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
apfinance.gov.in,18.0,18.0,1.0,1.0,translate-pa.googleapis.com,18.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,180.0,353,216,0.612,5,gstatic.com;cloudflare.com;fonts.googleapis.com;translate-pa.googleapis.com;translate.googleapis.com,216,0.612,0,45,143,0,6,0,69,90,0,0,1,1,0,0,1,1,4,0.0,TLS_1_3,RSAPublicKey,2048.0,0.0,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",322.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,1.0,0,0,0,0,0,0
apsrtc.gov.in,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0,,0,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,TLS_1_2,RSAPublicKey,4096.0,0.0,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",34.0,15.0,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,8.0,0.533,7.0,0.467,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA,0.0,0,0,0,0,0,0
ceodelhi.gov.in,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,397.0,280,45,0.161,1,google-analytics.com,45,0.161,0,4,179,0,6,0,70,21,0,0,1,1,1,1,1,1,6,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
chemexcil.in,357.0,351.0,0.983,2.0,youtube.com;translate-pa.googleapis.com,351.0,0.983,180.0,0.504,243.0,0.681,48.0,0.134,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,177.0,180.0,3172,2652,0.836,13,youtube.com;google.com;jnn-pa.googleapis.com;gstatic.com;doubleclick.net,2652,0.836,99,245,1039,0,4,0,731,190,54,810,0,0,0,0,0,0,0,0.0,TLS_1_3,RSAPublicKey,2048.0,0.0,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",64.0,7.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4.0,0.571,0.0,0.0,,0.0,0,0,0,0,0,0
delhipolice.gov.in,314.0,306.0,0.975,1.0,youtube.com,306.0,0.975,126.0,0.401,126.0,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,397.0,1408,1081,0.768,10,youtube.com;doubleclick.net;jnn-pa.googleapis.com;gstatic.com;google.com,1080,0.767,45,106,359,0,4,0,361,56,117,360,1,1,0,1,1,1,5,0.0,TLS_1_2,RSAPublicKey,2048.0,0.0,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",243.0,2.0,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,1.0,0.0,0.0,,1.0,1,1,0,0,0,1
dic.gov.in,27.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.37,1.0,0.037,1.0,0.037,0.0,1.0,0.0,0.0,0.037,0.0,4.0,4.0,397.0,321,316,0.984,10,digitalindiacorporation.in;gstatic.com;cloudflare.com;fonts.googleapis.com;jsdelivr.net,181,0.564,0,65,88,6,1,0,76,64,0,21,1,1,1,0,0,1,4,0.0,TLS_1_3,RSAPublicKey,2048.0,0.0,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",158.0,7.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4.0,0.571,0.0,0.0,,1.0,1,1,0,0,0,1
fabkerala.gov.in,344.0,342.0,0.994,1.0,youtube.com,342.0,0.994,162.0,0.471,163.0,0.474,28.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,177.0,1082,1000,0.924,11,youtube.com;userway.org;doubleclick.net;jnn-pa.googleapis.com;google.com,999,0.923,45,42,141,1,1,5,275,58,36,478,1,0,1,1,1,1,5,0.0,TLS_1_3,RSAPublicKey,2048.0,0.0,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",264.0,47.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,28.0,0.596,16.0,0.34,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1.0,1,1,0,0,0,1
forest.nagaland.gov.in,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,16,0.097,2,google.com;excellogics.co.in,9,0.055,0,10,9,5,1,0,61,78,0,1,0,0,0,0,0,0,0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1,4,1,1,1,1
genderpark.gov.in,9.0,9.0,1.0,1.0,google.com,9.0,1.0,9.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0,177.0,419,375,0.895,5,shortpixel.ai;gstatic.com;google.com;bootstrapcdn.com;fonts.googleapis.com,375,0.895,0,30,279,0,1,0,54,28,9,18,0,0,0,0,0,0,0,0.0,TLS_1_3,RSAPublicKey,2048.0,0.0,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",70.0,9.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_AES_128_CCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5.0,0.556,0.0,0.0,,0.0,1,1,0,0,0,1
goaelectricity.gov.in,10.0,9.0,0.9,1.0,translate-pa.googleapis.com,9.0,0.9,1.0,0.1,10.0,1.0,1.0,0.1,0.0,1.0,0.0,0.0,0.1,0.0,180.0,180.0,180.0,384,346,0.901,13,fbcdn.net;gstatic.com;translate.googleapis.com;google.com;facebook.com,342,0.891,0,0,145,0,1,0,167,42,10,19,1,0,0,0,1,1,3,0.0,TLS_1_3,RSAPublicKey,2048.0,0.0,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",59.0,16.0,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,8.0,0.5,6.0,0.375,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1.0,0,0,0,0,0,0
