domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
apfinance.gov.in,1,1,0,0,1,1,4
apsrtc.gov.in,0,0,0,0,0,0,0
ceodelhi.gov.in,1,1,1,1,1,1,6
chemexcil.in,0,0,0,0,0,0,0
delhipolice.gov.in,1,1,0,1,1,1,5
dic.gov.in,1,1,1,0,0,1,4
dot.gov.in,0,0,0,0,0,0,0
fabkerala.gov.in,1,0,1,1,1,1,5
forest.nagaland.gov.in,0,0,0,0,0,0,0
forest.rajasthan.gov.in,1,1,0,1,1,1,5
genderpark.gov.in,0,0,0,0,0,0,0
goaelectricity.gov.in,1,0,0,0,1,1,3
igod.gov.in,1,1,1,1,1,1,6
indianvisaonline.gov.in,1,0,0,0,1,1,3
kerala.gov.in,1,1,0,0,1,1,4
mahafireservice.gov.in,0,0,0,0,1,1,2
manassembly.gov.in,0,0,0,0,0,0,0
merc.gov.in,1,0,0,0,1,1,3
mohfw.gov.in,1,0,0,1,1,1,4
naco.gov.in,0,0,0,0,1,1,2
registry.gov.in,1,0,0,1,1,1,4
sikkimforest.gov.in,0,0,0,0,1,0,1
usof.gov.in,1,1,1,1,1,1,6
www.iirs.gov.in,1,0,0,0,1,1,3
www.ranaghat.gov.in,0,0,0,0,0,0,0
www.sikkim.gov.in,0,1,0,1,1,1,4
www.suratmunicipal.gov.in,0,0,0,0,1,0,1
