domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_csp_report,resources_font,resources_image,resources_imageset,resources_main_frame,resources_script,resources_stylesheet,resources_sub_frame,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
brent.gov.uk,35.0,0.0,0.0,0.0,,0.0,0.0,11.0,0.314,0.0,0.0,3.0,0.086,0.0,12.0,0.0,0.0,0.343,0.0,-3.0,362.0,397.0,480,433,0.902,10,fontawesome.com;onetrust.com;browsealoud.com;google-analytics.com;googletagmanager.com,433,0.902,0,0,5,70,0,1,148,2,0,254,1,1,0,0,1,1,4,,TLS_1_2,RSAPublicKey,2048,,"CN=SSL.com EV Root Certification Authority RSA R2,O=SSL Corporation,L=Houston,ST=Texas,C=US",177,6,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,6,1.0,0,0.0,,1,0,0,0,0,0,0
broxtowe.gov.uk,7.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.143,1.0,0.143,1.0,0.143,0.0,1.0,0.0,0.0,0.143,0.0,-3.0,397.0,397.0,711,678,0.954,10,fbcdn.net;facebook.com;googletagmanager.com;google-analytics.com;fonts.googleapis.com,678,0.954,9,0,11,172,0,1,330,62,18,108,1,0,0,0,1,1,3,,TLS_1_3,RSAPublicKey,2048,,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",103,8,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5,0.625,0,0.0,,0,1,1,0,0,0,1
data.gov.uk,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,362.0,362.0,14,9,0.643,1,googletagmanager.com,9,0.643,0,0,0,2,0,1,10,1,0,0,1,1,0,0,1,1,4,,TLS_1_3,RSAPublicKey,2048,,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",123,12,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,5,0.417,4,0.333,TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA,0,0,0,0,0,0,0
eden.gov.uk,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30,9,0.3,1,civiccomputing.com,9,0.3,0,0,1,4,0,1,6,9,0,9,1,0,0,0,1,1,3,,TLS_1_3,RSAPublicKey,2048,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",240,8,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5,0.625,0,0.0,,0,0,0,0,0,0,0
elmbridge.gov.uk,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,414,126,0.304,3,google-analytics.com;googletagmanager.com;fontawesome.com,126,0.304,0,0,2,36,4,1,143,183,0,45,1,1,1,1,1,1,6,,TLS_1_2,RSAPublicKey,2048,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",42,12,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6,0.5,6,0.5,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1,1,1,0,0,0,1
fenland.gov.uk,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,54,0.587,3,googletagmanager.com;fonts.googleapis.com;gstatic.com,54,0.587,0,0,20,30,0,2,20,20,0,0,1,1,0,0,1,1,4,,TLS_1_2,RSAPublicKey,2048,,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",219,4,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,4,1.0,0,0.0,,1,0,0,0,0,0,0
gov.uk,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,362.0,362.0,25,1,0.04,1,publishing.service.gov.uk,24,0.96,0,1,2,6,0,1,6,9,0,0,1,1,1,0,1,1,5,,TLS_1_3,RSAPublicKey,2048,,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",123,12,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,5,0.417,4,0.333,TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA,1,0,0,0,0,0,0
harpenden.gov.uk,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,449,396,0.882,8,twitter.com;fontawesome.com;gstatic.com;google-analytics.com;ajax.googleapis.com,396,0.882,0,0,126,33,0,2,104,67,45,72,0,0,0,0,0,0,0,,TLS_1_3,RSAPublicKey,2048,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",79,9,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_AES_128_CCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5,0.556,0,0.0,,0,1,1,0,0,0,1
harrow.gov.uk,24.0,0.0,0.0,0.0,,0.0,0.0,9.0,0.375,1.0,0.042,5.0,0.208,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,197,167,0.848,11,gstatic.com;google-analytics.com;googletagmanager.com;usabilla.com;hotjar.com,167,0.848,0,0,36,15,0,1,93,23,0,29,0,0,0,0,1,1,2,,TLS_1_3,RSAPublicKey,2048,,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",385,7,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4,0.571,0,0.0,,0,1,1,0,0,0,1
judicialappointments.gov.uk,23.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.043,2.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,543,499,0.919,6,wp.com;google-analytics.com;googletagmanager.com;google.com;doubleclick.net,499,0.919,36,0,27,130,18,2,163,41,0,126,1,0,0,0,0,0,1,,TLS_1_3,ECPublicKey,256,secp256r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",81,8,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,5,0.625,0,0.0,,1,0,0,0,0,0,0
lancaster.gov.uk,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,63,0.692,1,typekit.net,63,0.692,0,0,46,21,0,1,4,19,0,0,0,0,0,0,0,0,0,,TLS_1_3,RSAPublicKey,2048,,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",282,14,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6,0.429,6,0.429,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0,0,0,0,0,0,0
newforest.gov.uk,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179,126,0.704,3,gstatic.com;civiccomputing.com;fonts.googleapis.com,126,0.704,0,0,65,40,0,3,31,22,0,18,1,1,0,0,1,1,4,,TLS_1_2,RSAPublicKey,4096,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",71,4,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,4,1.0,0,0.0,,1,0,0,0,0,0,0
pendle.gov.uk,22.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.455,2.0,0.091,4.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,256,236,0.922,9,browsealoud.com;gstatic.com;google-analytics.com;fonts.googleapis.com;hotjar.com,236,0.922,0,0,45,8,1,1,122,23,0,56,1,0,0,0,1,1,3,certinfo_error ('NoneType' object has no attribute 'get'),,,0,,,0,0,,0,0.0,0,0.0,,0,1,1,0,0,0,1
preston.gov.uk,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,26,0.263,3,googletagmanager.com;reciteme.com;visitpreston.com,24,0.242,0,0,3,66,0,2,26,2,0,0,1,1,0,0,1,1,4,,TLS_1_2,RSAPublicKey,2048,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",54,4,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,4,1.0,0,0.0,,1,0,0,0,0,0,0
publiccontractsscotland.gov.uk,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.0,0,,0,0.0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048,,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",200,4,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,4,1.0,0,0.0,,0,0,0,0,0,0,0
scilly.gov.uk,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,316,216,0.684,6,google-analytics.com;googletagmanager.com;gstatic.com;nr-data.net;fonts.googleapis.com,216,0.684,0,0,45,10,0,2,94,93,0,72,1,0,0,0,1,1,3,,TLS_1_3,RSAPublicKey,2048,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",47,6,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3,0.5,0,0.0,,1,0,0,0,0,0,0
telford.gov.uk,19.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.368,2.0,0.105,8.0,0.421,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,552,490,0.888,8,jsdelivr.net;browsealoud.com;fonts.googleapis.com;googletagmanager.com;gstatic.com,490,0.888,0,0,47,42,0,4,228,155,0,76,0,0,0,0,0,0,0,,TLS_1_3,RSAPublicKey,2048,,"CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US",109,8,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,6,0.75,0,0.0,,0,1,1,0,0,0,1
