domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
elmbridge.gov.uk,1,1,1,1,1,1,6
fenland.gov.uk,1,1,0,0,1,1,4
harpenden.gov.uk,0,0,0,0,0,0,0
judicialappointments.gov.uk,1,0,0,0,0,0,1
newforest.gov.uk,1,1,0,0,1,1,4
preston.gov.uk,1,1,0,0,1,1,4
publiccontractsscotland.gov.uk,0,0,0,0,0,0,0
scilly.gov.uk,1,0,0,0,1,1,3
telford.gov.uk,0,0,0,0,0,0,0
truro.gov.uk,0,0,0,0,0,0,0
www.brent.gov.uk,1,1,0,0,1,1,4
www.broxtowe.gov.uk,1,0,0,0,1,1,3
www.data.gov.uk,1,1,0,0,1,1,4
www.eden.gov.uk,1,0,0,0,1,1,3
www.gov.uk,1,1,1,0,1,1,5
www.harrow.gov.uk,0,0,0,0,1,1,2
www.lancaster.gov.uk,0,0,0,0,0,0,0
www.pendle.gov.uk,1,0,0,0,1,1,3
www.woking.gov.uk,1,0,1,1,1,1,5
www.york.gov.uk,1,0,0,1,1,1,4
