domain,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers
dikgatlong.gov.za,0,0,0,1,1,1,3
dirco.gov.za,0,0,0,0,1,0,1
dkm.gov.za,0,0,0,0,0,0,0
ecprov.gov.za,0,0,0,0,0,0,0
edumbe.gov.za,0,0,0,0,0,1,1
emfuleni.gov.za,0,0,0,1,0,0,1
fsl.gov.za,1,0,1,1,1,1,5
justice.gov.za,0,0,0,0,0,0,0
khaima.gov.za,0,0,0,0,0,0,0
kznlegislature.gov.za,1,0,0,1,1,0,3
www.andm.gov.za,0,0,0,0,0,1,1
www.capewinelands.gov.za,0,0,0,0,0,0,0
www.dannhauser.gov.za,0,0,0,0,0,0,0
www.dihlabeng.gov.za,0,0,0,0,0,0,0
www.ehlanzeni.gov.za,0,0,0,0,0,0,0
www.gardenroute.gov.za,0,0,0,0,0,0,0
www.george.gov.za,0,1,0,0,0,0,1
www.govanmbeki.gov.za,0,0,0,0,0,0,0
www.health.gov.za,0,0,0,0,0,0,0
www.karoohoogland.gov.za,0,0,0,0,0,0,0
